id,source,AG98_wtpct,AG22_wtpct,AG23_wtpct,SodaF_wtpct,PotashF_wtpct,Crushing_wtpct,ETP_wtpct,NaSil_wtpct,MOR_MPa,WA_pct,Shrinkage_pct,press_bar,dryer_time_min,kiln_time_min,kiln_temp_C,calorific_NG_Kcal_Nm3,dryer_temp_C,gas_Nm3_per_m2,green_length_mm,green_width_mm,green_thickness_mm,green_weight_g,fired_length_mm,fired_weight_g,cost_Tk_per_kg,CO2_kg_per_kg
1,synthetic,16.853990121162905,3.890147483272903,13.219325600403323,39.30753682304498,20.75933129289581,2.6651212982409964,2.2499625939632546,1.054584787015835,49.38904076504712,0.9022494115645977,10.660927203959433,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.460779670274458,0.0962385544260688
2,synthetic,15.319086280520876,3.7414467579888733,13.158321995610324,40.48185288493092,20.306614180597617,2.5317889521948027,3.0677678268343938,1.3931211213221977,52.07792165265502,1.5273126757059443,10.857593818318023,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.492592658848231,0.09714321042432704
3,synthetic,19.837548662171052,2.988738037207228,11.852298530174345,41.63169847079534,18.286890678930654,2.2842070386264286,2.1429136558690187,0.9757049262259337,55.12636877870278,1.1615024130758247,10.944221131130845,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.530478829075962,0.09484917456431703
4,synthetic,16.134546745254422,3.5047209920237656,12.185759594361654,40.61996453603647,20.828747372404862,3.0503976530033734,2.3436033055202454,1.332259801395201,52.27078433221916,1.7854906013298688,10.87771432877633,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.491778064552928,0.09788592737295254
5,synthetic,19.02382178748401,3.0812175685452616,11.441640519651221,41.73896157860708,19.77746852782483,2.209628725413965,2.219899022722619,0.5073622697510055,54.45145765841641,1.2928462481278737,10.927556026631121,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.44593316994815,0.09159277755643805
6,synthetic,18.93462188751069,3.497276284888048,13.525826893131676,37.623385740332466,20.465103217153775,2.6883736633075097,2.625615315548183,0.6397969981276574,51.733383310572584,1.1388226725876909,10.448900859571115,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.329063870219057,0.09708394276615086
7,synthetic,15.572650367679866,3.5026044426857075,12.355481030715662,42.713343574767755,18.956652745368324,3.1474982861240384,2.6981901520006497,1.0535794006579957,52.31948080770879,1.5694940505845905,10.843028416258397,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.468546691471827,0.09817275792703584
8,synthetic,18.321567701636937,3.1095802921601057,14.070101923330174,42.974459536368414,16.168810439353926,2.0340681097007907,2.099052646853206,1.2223593505964503,49.18125087782427,1.409096896422796,10.966339339579918,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.635793619970303,0.09550985893043562
9,synthetic,19.283071420461876,3.637779294752815,13.597314779754683,38.7238655981924,18.024651278425726,2.940963261053665,2.6425077658040093,1.1498466015548199,51.030551888729015,1.3241386856446218,10.429554500901373,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.434747055138134,0.1014242914415453
10,synthetic,17.93822286088856,2.755889452805329,14.625600591883986,39.91974349805785,19.067427977902764,2.5203047068022557,2.6500070406295584,0.5228038710296975,52.87471183046946,1.0258213851447433,10.697766770234471,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.364516442999735,0.09564412453265768
11,synthetic,19.792796066207227,3.2234551554143502,13.913676136251432,40.78337099764772,15.57910999945707,2.7299874962572406,2.539777693789973,1.4378264549749828,53.120576366236236,1.2166318946257368,10.445111830997233,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.555415234810058,0.10210749555229762
12,synthetic,19.13145962097179,3.84424115775965,10.701245444993054,41.76123927361619,18.878253004773345,2.162863611703165,2.739464102343793,0.7812337838390083,53.550063632309445,1.5741782087789131,10.934991512539565,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.475134535837848,0.09368415261537882
13,synthetic,18.297113173459508,3.590491921430324,13.843237459588284,42.35030510996365,15.754186621691275,3.3740177677064116,2.253235389984369,0.5374125561761798,49.309878242867995,1.4478584844286546,10.693699073862,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.417000880975668,0.10062945628580287
14,synthetic,17.774262346957418,3.0563834257936584,14.148948715662065,38.04782969518583,20.657760304450115,2.475708339234073,3.0481893345767195,0.7909178381401186,51.13846529378679,1.1548652098682055,10.399969150481084,100,45,90,1210,8300,180.0,1.4115,109.2,54.6,9.8,98.5,98.0,95.05,7.340343718847435,0.09653084645570056
